"city","county","PACE.start"
"Downey","Los Angeles",NA
"Rancho Palos Verdes","Los Angeles",NA
"Alpine","San Diego",NA
"alpine","San Diego",NA
"ALPINE","San Diego",NA
"Chula Vista","San Diego",NA
"San Diego","San Diego",NA
"Bonita","San Diego",NA
"BONITA","San Diego",NA
"bonita","San Diego",NA
"Boulevard","San Diego",NA
"Live Oak Springs","San Diego",NA
"Jacumba","San Diego",NA
"Campo","San Diego",NA
"CAMPO","San Diego",NA
"CHULA VISTA","San Diego",NA
"Chula vista","San Diego",NA
"Descanso","San Diego",NA
"DESCANSO","San Diego",NA
"Dulzura","San Diego",NA
"Guatay","San Diego",NA
"Imperial Beach","San Diego",NA
"IMPERIAL BEACH","San Diego",NA
"Jamul","San Diego",NA
"JAMUL","San Diego",NA
"La Mesa","San Diego",NA
"la mesa","San Diego",NA
"LA MESA","San Diego",NA
"la Mesa","San Diego",NA
"Lemon Grove","San Diego",NA
"LEMON GROVE","San Diego",NA
"Mount Laguna","San Diego",NA
"National City","San Diego",NA
"National city","San Diego",NA
"Pine Valley","San Diego",NA
"Potrero","San Diego",NA
"SPRING VALLEY","San Diego",NA
"Spring Valley","San Diego",NA
"Spring VALLEY","San Diego",NA
"Bonsall","San Diego",NA
"BONSALL","San Diego",NA
"Borrego springs","San Diego",NA
"Borrego Springs","San Diego",NA
"borego springs","San Diego",NA
"Cardiff by the Sea","San Diego",NA
"Cardiff","San Diego",NA
"Cardiff By The Sea","San Diego",NA
"CARDIFF","San Diego",NA
"Carlsbad","San Diego",NA
"CARLSBAD","San Diego",NA
"carlsbad","San Diego",NA
"Rancho La Costa","San Diego",NA
"Carslabd","San Diego",NA
"Carslbad","San Diego",NA
"Del Mar","San Diego",NA
"Solana Beach","San Diego",NA
"DEL MAR","San Diego",NA
"el cajon","San Diego",NA
"El Cajon","San Diego",NA
"EL CAJON","San Diego",NA
"El cajon","San Diego",NA
"Crest","San Diego",NA
"El CAJON","San Diego",NA
"Lakeside","San Diego",NA
"El Cajon, California","San Diego",NA
"Encinitas","San Diego",NA
"encinitas","San Diego",NA
"Leucadia","San Diego",NA
"ENCINITAS","San Diego",NA
"Escondido","San Diego",NA
"ESCONDIDO","San Diego",NA
"Escondio","San Diego",NA
"escondido","San Diego",NA
"Escondido, CA 92026","San Diego",NA
"Fallbrook","San Diego",NA
"fallbrook","San Diego",NA
"FALLBROOK","San Diego",NA
"Fallbrok","San Diego",NA
"Rainbow","San Diego",NA
"Escondidio","San Diego",NA
"Julian","San Diego",NA
"La Jolla","San Diego",NA
"la jolla","San Diego",NA
"LaJolla","San Diego",NA
"LA JOLLA","San Diego",NA
"La jolla","San Diego",NA
"LAKESIDE","San Diego",NA
"lakeside","San Diego",NA
"OCEANSIDE","San Diego",NA
"Oceanside","San Diego",NA
"Camp Pendleton","San Diego",NA
"oceanside","San Diego",NA
"Pala","San Diego",NA
"PALA","San Diego",NA
"Pauma Valley","San Diego",NA
"Poway","San Diego",NA
"POWAY","San Diego",NA
"poway","San Diego",NA
"San Marcos","San Diego",NA
"Ramona","San Diego",NA
"RAMONA","San Diego",NA
"ramona","San Diego",NA
"WARNER SPRINGS","San Diego",NA
"Ranchita","San Diego",NA
"Rancho Santa Fe","San Diego",NA
"RANCHO SANTA FE","San Diego",NA
"Rancho Sante Fe","San Diego",NA
"Ranco Santa Fe","San Diego",NA
"san marcos","San Diego",NA
"SAN MARCOS","San Diego",NA
"Santa Ysabel","San Diego",NA
"Santee","San Diego",NA
"SANTEE","San Diego",NA
"santee","San Diego",NA
"SOLANA BEACH","San Diego",NA
"San marcos","San Diego",NA
"Vista","San Diego",NA
"Valley Center","San Diego",NA
"VALLEY CENTER","San Diego",NA
"valley Center","San Diego",NA
"Valley center","San Diego",NA
"vista","San Diego",NA
"VISTA","San Diego",NA
"Warner Springs","San Diego",NA
"SAN DIEGO","San Diego",NA
"San diego","San Diego",NA
"san Diego","San Diego",NA
"Point Loma","San Diego",NA
"Pacific Beach","San Diego",NA
"san diego","San Diego",NA
"PACIFIC BEACH","San Diego",NA
"Coronado","San Diego",NA
"CORONADO","San Diego",NA
"San DIego","San Diego",NA
"Tierrasanta","San Diego",NA
"San Diego`","San Diego",NA
"Rancho Bernardo","San Diego",NA
"San  Diego","San Diego",NA
"Rancho Penasquitos","San Diego",NA
"San Clemente","Orange",NA
"Carmel Valley","Monterey",NA
"SAn Diego","San Diego",NA
"San Ysidro","San Diego",NA
"SAN YSIDRO","San Diego",NA
"Murrieta","Riverside",NA
"Laguna Niguel","Orange",NA
"Dana Point","Orange",NA
"Capistrano Beach","Orange",NA
"CAPISTRANO BEACH","Orange",NA
"DANA POINT","Orange",NA
"Laguna Hills","Orange",NA
"Aliso Viejo","Orange",NA
"South Laguna","Orange",NA
"Laguna Beach","Orange",NA
"laguna Beach","Orange",NA
"LAGUNA HILLS","Orange",NA
"San Clamente","Orange",NA
"san clemente","Orange",NA
"SAN CLEMENTE","Orange",NA
"San Juan Capistrano","Orange",NA
"SAN JUAN CAPISTRANO","Orange",NA
"san juan capistrano","Orange",NA
"LAGUNA NIGUEL","Orange",NA
"Trabuco Canyon","Orange",NA
"Coto De Caza","Orange",NA
"Coto de Caza","Orange",NA
"COTO DE CAZA","Orange",NA
"Coto De Casa","Orange",NA
"LAS FLORES","Orange",NA
"Rancho Santa Margarita","Orange",NA
"Las Flores","Orange",NA
"Santa Margarita","San Luis Obispo",NA
"RANCHO SANTA MARGARITA","Orange",NA
"Mission Viejo","Orange",NA
"MISSION VIEJO","Orange",NA
"Ladera Ranch","Orange",NA
"LADERA RANCH","Orange",NA
"Ladera ranch","Orange",NA
"El Sobrante","Contra Costa",NA
"Rohnert Park","Sonoma","2009-05-01"
"Gilroy","Santa Clara",NA
"Santa Cruz","Santa Cruz",NA
"Santa Rosa","Sonoma","2009-05-01"
"Cloverdale","Sonoma","2009-05-01"
"Chico","Butte",NA
"Mcfarland","Kern",NA
"BRENTWOOD","Los Angeles",NA
"Fresno","Fresno",NA
"Garden Grove","Orange",NA
"Santa Barbara","Santa Barbara",NA
"Arvin","Kern",NA
"Avenal","Kings",NA
"buttonwillow","Kern",NA
"Buttonwillow","Kern",NA
"Coalinga","Fresno",NA
"COALINGA","Fresno",NA
"Corcoran","Kings",NA
"CORCORAN","Kings",NA
"Edison","Kern",NA
"HANFORD","Kings",NA
"Hanford","Kings",NA
"Kettleman City","Kings",NA
"Lamont","Kern",NA
"Laton","Fresno",NA
"LATON","Fresno",NA
"Lemoore","Kings",NA
"LEMOORE","Kings",NA
"Lemooore","Kings",NA
"LOST HILLS","Kern",NA
"Lost Hills","Kern",NA
"Bakersfield","Kern",NA
"McFarland","Kern",NA
"Mc Farland","Kern",NA
"Maricopa","Kern",NA
"Shafter","Kern",NA
"BAKERSFIELD","Kern",NA
"SHAFTER","Kern",NA
"bakersfield","Kern",NA
"Stratford","Kings",NA
"Taft","Kern",NA
"TAFT","Kern",NA
"Tupman","Kern",NA
"Wasco","Kern",NA
"WASCO","Kern",NA
"Woodlake","Tulare",NA
"Visalia","Tulare",NA
"Bakesfield","Kern",NA
"San Luis Obispo","San Luis Obispo",NA
"SAN LUIS OBISPO","San Luis Obispo",NA
"San Luis Obisop","San Luis Obispo",NA
"Los Osos","San Luis Obispo",NA
"LOS OSOS","San Luis Obispo",NA
"Arroyo Grande","San Luis Obispo",NA
"Pismo Beach","San Luis Obispo",NA
"ARROYO GRANDE","San Luis Obispo",NA
"Atascadero","San Luis Obispo",NA
"ATASCADERO","San Luis Obispo",NA
"atascadero","San Luis Obispo",NA
"Moro Bay","San Luis Obispo",NA
"6355 SAN GABRIEL RD LOT 3","San Luis Obispo",NA
"AVILA BEACH","San Luis Obispo",NA
"Bradley","Monterey",NA
"BRADLEY","Monterey",NA
"Buellton","Santa Barbara",NA
"Cambria","San Luis Obispo",NA
"cambria","San Luis Obispo",NA
"Cayucos","San Luis Obispo",NA
"cayucos","San Luis Obispo",NA
"CAYUCOS","San Luis Obispo",NA
"Creston","San Luis Obispo",NA
"Grover Beach","San Luis Obispo",NA
"Harmony","San Luis Obispo",NA
"Lompoc","Santa Barbara",NA
"LOMPOC","Santa Barbara",NA
"Los Alamos","Santa Barbara",NA
"LOS ALAMOS","Santa Barbara",NA
"Los Olivos","Santa Barbara",NA
"Morro Bay","San Luis Obispo",NA
"MORRO BAY","San Luis Obispo",NA
"NIPOMO","San Luis Obispo",NA
"Nipomo","San Luis Obispo",NA
"Oceano","San Luis Obispo",NA
"PASO ROBLES","San Luis Obispo",NA
"Paso Robles","San Luis Obispo",NA
"Paso Rolbes","San Luis Obispo",NA
"San Miguel","San Luis Obispo",NA
"SAN MIGUEL","San Luis Obispo",NA
"California Valley","San Luis Obispo",NA
"Santa Maria","Santa Barbara",NA
"SANTA MARIA","Santa Barbara",NA
"Orcutt","Santa Barbara",NA
"Santa Ynez","Santa Barbara",NA
"SANTA YNEZ","Santa Barbara",NA
"SHANDON","San Luis Obispo",NA
"Cholame","San Luis Obispo",NA
"Solvang","Santa Barbara",NA
"Ballard","Santa Barbara",NA
"SOLVANG","Santa Barbara",NA
"Templeton","San Luis Obispo",NA
"TEMPLETON","San Luis Obispo",NA
"Keene","Kern",NA
"Tehachapi","Kern",NA
"Sanger","Fresno",NA
"AHWAHNEE","Madera",NA
"Ahwahnee","Madera",NA
"Auberry","Fresno",NA
"AUBERRY","Fresno",NA
"Badger","Tulare",NA
"Burrel","Fresno",NA
"Caruthers","Fresno",NA
"Chowchilla","Madera",NA
"Clovis","Fresno",NA
"CLOVIS","Fresno",NA
"clovis","Fresno",NA
"Clovs","Fresno",NA
"Coarsegold","Madera",NA
"COARSEGOLD","Madera",NA
"Coursegold","Madera",NA
"O'Neals","Madera",NA
"Cutler","Tulare",NA
"Del Rey","Fresno",NA
"Dinuba","Tulare",NA
"DINUBA","Tulare",NA
"Dos Palos","Merced",NA
"Dunlap","Fresno",NA
"Firebaugh","Fresno",NA
"FIREBAUGH","Fresno",NA
"Five Points","Fresno",NA
"Fowler","Fresno",NA
"FOWLER","Fresno",NA
"Friant","Fresno",NA
"Kerman","Fresno",NA
"KERMAN","Fresno",NA
"Kingsburg","Fresno",NA
"KINGSBURG","Fresno",NA
"Kingsburge","Fresno",NA
"LOS BANOS","Merced",NA
"Los Banos","Merced",NA
"Raymond","Madera",NA
"Madera","Madera",NA
"MADERA","Madera",NA
"Mendota","Fresno",NA
"Miramonte","Fresno",NA
"North Fork","Madera",NA
"Northfork","Madera",NA
"NORTH FORK","Madera",NA
"Oakhurst","Madera",NA
"O NEALS","Madera",NA
"Oneals","Madera",NA
"O Neals","Madera",NA
"Orange Cove","Fresno",NA
"Orosi","Tulare",NA
"Parlier","Fresno",NA
"PARLIER","Fresno",NA
"FRESNO","Fresno",NA
"fresno","Fresno",NA
"Prather","Fresno",NA
"PRATHER","Fresno",NA
"Reedley","Fresno",NA
"REEDLEY","Fresno",NA
"Riverdale","Fresno",NA
"riverdale","Fresno",NA
"sanger","Fresno",NA
"SANGER","Fresno",NA
"SAN JOAQUIN","Fresno",NA
"San Joaquin","Fresno",NA
"Selma","Fresno",NA
"Shaver Lake","Fresno",NA
"Sultana","Tulare",NA
"Tollhouse","Fresno",NA
"Tranquility","Kern",NA
"Squaw Valley","Fresno",NA
"SQUAW VALLEY","Fresno",NA
"Salinas","Monterey",NA
"SALINAS","Monterey",NA
"Prunedale","Monterey",NA
"Pruneda","Monterey",NA
"Salians","Monterey",NA
"Big Sur","Monterey",NA
"Carmel By the Sea","Monterey",NA
"Carmel","Monterey",NA
"Carmel by the Sea","Monterey",NA
"CARMEL","Monterey",NA
"CARMEL VALLEY","Monterey",NA
"Chualar","Monterey",NA
"Gonzales","Monterey",NA
"Greenfield","Monterey",NA
"King City","Monterey",NA
"KING CITY","Monterey",NA
"Lockwood","Monterey",NA
"Marina","Monterey",NA
"MONTEREY","Monterey",NA
"Monterey","Monterey",NA
"Montery","Monterey",NA
"PACIFIC GROVE","Monterey",NA
"Pacific Grove","Monterey",NA
"Pebble Beach","Monterey",NA
"San Lucas","Monterey",NA
"Seaside","Monterey",NA
"Soledad","Monterey",NA
"Spreckels","Monterey",NA
"SPRECKELS","Monterey",NA
"Belmont","San Mateo",NA
"Brisbane","San Mateo",NA
"Burlingame","San Mateo",NA
"BURLINGAME","San Mateo",NA
"Hillsborough","San Mateo",NA
"HillsBorough","San Mateo",NA
"HILLSBOROUGH","San Mateo",NA
"Daly City","San Mateo",NA
"DALY CITY","San Mateo",NA
"Colma","San Mateo",NA
"El Granada","San Mateo",NA
"EL GRANADA","San Mateo",NA
"Half Moon Bay","San Mateo",NA
"HALF MOON BAY","San Mateo",NA
"La Honda","San Mateo",NA
"La honda","San Mateo",NA
"LA HONDA","San Mateo",NA
"Loma Mar","San Mateo",NA
"Los Altos","Santa Clara",NA
"Los Altos Hills","Santa Clara",NA
"LOS ALTOS","Santa Clara",NA
"LOS ALTOS HILLS","Santa Clara",NA
"Los altos","Santa Clara",NA
"Menlo Park","San Mateo",NA
"MENLO PARK","San Mateo",NA
"Atherton","San Mateo",NA
"ATHERTON","San Mateo",NA
"Portola Valley","San Mateo",NA
"PORTOLA VALLEY","San Mateo",NA
"MILLBRAE","San Mateo",NA
"Millbrae","San Mateo",NA
"Mountain View","Santa Clara",NA
"MOUNTAIN VIEW","Santa Clara",NA
"Montara","San Mateo",NA
"Moss Beach","San Mateo",NA
"MOSS BEACH","San Mateo",NA
"MOUNTAIN VIEW,","Santa Clara",NA
"Pacifica","San Mateo",NA
"PACIFICA","San Mateo",NA
"Pescadero","San Mateo",NA
"Redwood City","San Mateo",NA
"REDWOOD CITY","San Mateo",NA
"WOODSIDE","San Mateo",NA
"Woodside","San Mateo",NA
"Emerald Hills","San Mateo",NA
"Redwood city","San Mateo",NA
"Palomar Park","San Mateo",NA
"woodside","San Mateo",NA
"San Bruno","San Mateo",NA
"SAN BRUNO","San Mateo",NA
"San Carlos","San Mateo",NA
"SAN CARLOS","San Mateo",NA
"san carlos","San Mateo",NA
"South San Francisco","San Mateo",NA
"SOUTH SAN FRANCISCO","San Mateo",NA
"Sunnyvale","Santa Clara",NA
"SUNNYVALE","Santa Clara",NA
"sunnyvale","Santa Clara",NA
"Sonora","Santa Clara",NA
"Sunyvale","Santa Clara",NA
"SAN FRANCISCO","San Francisco",NA
"San Francisco","San Francisco",NA
"san francisco","San Francisco",NA
"San Francsico","San Francisco",NA
"San Francusco","San Francisco",NA
"san Francisco","San Francisco",NA
"San francisco","San Francisco",NA
"SAN FRANCISSO","San Francisco",NA
"EAST PALO ALTO","Santa Clara",NA
"East Palo Alto","Santa Clara",NA
"Palo Alto","Santa Clara",NA
"Stanford","Santa Clara",NA
"San Mateo","San Mateo",NA
"SAN MATEO","San Mateo",NA
"san mateo","San Mateo",NA
"Los Gatos","Santa Clara",NA
"Foster City","San Mateo",NA
"FOSTER CITY","San Mateo",NA
"American Canyon","Napa",NA
"AMERICAN CANYON","Napa",NA
"Byron","Contra Costa",NA
"Discovery Bay","Contra Costa",NA
"BYRON","Contra Costa",NA
"DISCOVERY BAY","Contra Costa",NA
"DANVILLE","Contra Costa",NA
"Danville","Contra Costa",NA
"Alamo","Contra Costa",NA
"ALAMO","Contra Costa",NA
"Angwin","Napa",NA
"Antioch","Contra Costa",NA
"ANTIOCH","Contra Costa",NA
"Benicia","Solano",NA
"BENICIA","Solano",NA
"Bethel Island","Contra Costa",NA
"Suisun City","Solano",NA
"Brentwood","Los Angeles",NA
"Calistoga","Napa",NA
"CALISTOGA","Sonoma","2009-05-01"
"Clayton","Contra Costa",NA
"CLAYTON","Contra Costa",NA
"Concord","Contra Costa",NA
"CONCORD","Contra Costa",NA
"concord","Contra Costa",NA
"Pleasant Hill","Contra Costa",NA
"PLEASANT HILL","Contra Costa",NA
"Crockett","Contra Costa",NA
"DIABLO","Contra Costa",NA
"Diablo","Contra Costa",NA
"El Cerrito","Contra Costa",NA
"el cerrito","Contra Costa",NA
"EL CERRITO","Contra Costa",NA
"Fairfield","Solano",NA
"FAIRFIELD","Solano",NA
"Fairfiled","Solano",NA
"SUISUN CITY","Solano",NA
"Fremont","Alameda",NA
"FREMONT","Alameda",NA
"Hayward","Alameda",NA
"HAYWARD","Alameda",NA
"hayward","Alameda",NA
"Castro Valley","Alameda",NA
"CASTRO VALLEY","Alameda",NA
"Hercules","Contra Costa",NA
"Knightsen","Contra Costa",NA
"KNIGHTSEN","Contra Costa",NA
"Lafayette","Contra Costa",NA
"LAFAYETTE","Contra Costa",NA
"lafayette","Contra Costa",NA
"LaFayette","Contra Costa",NA
"Layfayette","Contra Costa",NA
"Livermore","Alameda",NA
"LIVERMORE","Alameda",NA
"Martinez","Contra Costa",NA
"Pacheco","Contra Costa",NA
"Briones","Contra Costa",NA
"Moraga","Contra Costa",NA
"MORAGA","Contra Costa",NA
"Pleasanton","Alameda",NA
"Napa","Napa",NA
"NAPA","Napa",NA
"St. Helena","Napa",NA
"Lake Berryessa","Napa",NA
"napa","Napa",NA
"Greenbrae","Marin",NA
"Newark","Alameda",NA
"NEWARK","Alameda",NA
"Oakley","Contra Costa",NA
"OAKLEY","Contra Costa",NA
"Oakville","Napa",NA
"Orinda","Contra Costa",NA
"ORINDA","Contra Costa",NA
"orinda","Contra Costa",NA
"Pinole","Contra Costa",NA
"Pincole","Contra Costa",NA
"Pittsburg","Contra Costa",NA
"Bay Point","Contra Costa",NA
"PITTSBURG","Contra Costa",NA
"PLEASANTON","Alameda",NA
"Pleasonton","Alameda",NA
"Pope Valley","Napa",NA
"Dublin","Alameda",NA
"DUBLIN","Alameda",NA
"Rio Vista","Solano",NA
"RIO VISTA","Solano",NA
"Rodeo","Contra Costa",NA
"RODEO","Contra Costa",NA
"Rutherford","Napa",NA
"Saint Helena","Napa",NA
"SAINT HELENA","Napa",NA
"Kenwood","Sonoma","2009-05-01"
"Deer Park","Napa",NA
"San Leandro","Alameda",NA
"SAN LEANDRO","Alameda",NA
"San Lorenzo","Alameda",NA
"SAN RAMON","Contra Costa",NA
"San Ramon","Contra Costa",NA
"Sunol","Alameda",NA
"Union City","Alameda",NA
"UNION CITY","Alameda",NA
"Vallejo","Napa",NA
"VALLEJO","Napa",NA
"WALNUT CREEK","Contra Costa",NA
"Walnut Creek","Contra Costa",NA
"walnut creek","Contra Costa",NA
"yountville","Napa",NA
"Yountville","Napa",NA
"OAKLAND","Alameda",NA
"Oakland","Alameda",NA
"PIEDMONT","Alameda",NA
"Piedmont","Alameda",NA
"Emeryville","Alameda",NA
"piedmont","Alameda",NA
"oakland","Alameda",NA
"Sacramento","Sacramento",NA
"BERKELEY","Alameda",NA
"Berkeley","Alameda",NA
"Berkely","Alameda",NA
"berkeley","Alameda",NA
"Berkley","Alameda",NA
"Albany","Alameda",NA
"KENSINGTON","Alameda",NA
"Kensington","Alameda",NA
"ALBANY","Alameda",NA
"Richmond","Contra Costa",NA
"Point Richmond","Contra Costa",NA
"RICHMOND","Contra Costa",NA
"EL SOBRANTE","Contra Costa",NA
"ElSobrante","Contra Costa",NA
"San Pablo","Contra Costa",NA
"San Rafael","Marin",NA
"SAN RAFAEL","Marin",NA
"Kentfield","Marin",NA
"KENTFIELD","Marin",NA
"Larkspur","Marin",NA
"Tiburon","Marin",NA
"Belvedere Tiburon","Marin",NA
"Belvedere","Marin",NA
"BELVEDERE","Marin",NA
"TIBURON","Marin",NA
"Bodega","Sonoma","2009-05-01"
"Bodega Bay","Sonoma","2009-05-01"
"BODEGA BAY","Sonoma","2009-05-01"
"Bolinas","Marin",NA
"BOLINAS","Marin",NA
"CORTE MADERA","Marin",NA
"Corte Madera","Marin",NA
"COTATI","Sonoma","2009-05-01"
"ROHNERT PARK","Sonoma","2009-05-01"
"Rohnert","Sonoma","2009-05-01"
"Dillon Beach","Marin",NA
"Fairfax","Marin",NA
"Faifax","Marin",NA
"Cotati","Sonoma","2009-05-01"
"FOREST KNOLLS","Marin",NA
"Forest Knolls","Marin",NA
"Lagunitas","Marin",NA
"Inverness","Marin",NA
"INVERNESS","Marin",NA
"LARKSPUR","Marin",NA
"Marshall","Marin",NA
"Mill Valley","Marin",NA
"MILL VALLEY","Marin",NA
"Stinson Beach","Marin",NA
"NOVATO","Marin",NA
"Novato","Marin",NA
"Nicasio","Marin",NA
"Olema","Marin",NA
"Penngrove","Sonoma","2009-05-01"
"PENNGROVE","Sonoma","2009-05-01"
"Pengrove","Sonoma","2009-05-01"
"Petaluma","Sonoma","2009-05-01"
"PETALUMA","Sonoma","2009-05-01"
"Bloomfield","Sonoma","2009-05-01"
"petaluma","Sonoma","2009-05-01"
"Point Reyes Station","Marin",NA
"Pt Reyes Station","Marin",NA
"Ross","Marin",NA
"ROSS","Marin",NA
"San Anselmo","Marin",NA
"SAN ANSELMO","Marin",NA
"San Geronimo","Marin",NA
"San Quentin","Marin",NA
"Sausalito","Marin",NA
"Muir Beach","Marin",NA
"SAUSALITO","Marin",NA
"STINSON BEACH","Marin",NA
"Tomales","Marin",NA
"Valley Ford","Sonoma","2009-05-01"
"Woodacre","Marin",NA
"APTOS","Santa Cruz",NA
"Aptos","Santa Cruz",NA
"Alviso","Santa Clara",NA
"Aromas","Monterey",NA
"AROMAS","Monterey",NA
"Watsonville","Santa Cruz",NA
"aromas","Monterey",NA
"BEN LOMOND","Santa Cruz",NA
"Ben Lomond","Santa Cruz",NA
"Boulder Creek","Santa Cruz",NA
"BOULDER CREEK","Santa Cruz",NA
